timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1650010724548,795,Contact-424,200,OK,Contacts 5-1,text,true,,19902,536,1,5,https://www.demoblaze.com/index.html,787,0,731
1650010724389,795,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-1,,true,,19902,536,1,5,null,787,162,731
1650010725374,135,Contact-424,200,OK,Contacts 5-2,text,true,,4940,536,1,9,https://www.demoblaze.com/index.html,133,0,82
1650010725373,135,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-2,,true,,4940,536,1,9,null,133,2,82
1650010724548,982,Login-38,200,OK,AddToCart 4-1,text,true,,449,477,2,8,https://api.demoblaze.com/login,982,0,731
1650010724548,995,login,200,OK,InvalidLogin 3-1,text,true,,449,477,2,8,https://api.demoblaze.com/login,995,0,731
1650010724548,1024,signup,200,OK,Signup  1-1,text,true,,449,478,2,8,https://api.demoblaze.com/signup,1024,0,731
1650010724548,1024,login,200,OK,Login 2-1,text,true,,449,477,2,8,https://api.demoblaze.com/login,1024,0,731
1650010725369,344,login,200,OK,InvalidLogin 3-2,text,true,,449,477,2,8,https://api.demoblaze.com/login,344,0,89
1650010725374,339,Login-38,200,OK,AddToCart 4-2,text,true,,449,477,2,8,https://api.demoblaze.com/login,339,0,82
1650010725378,335,signup,200,OK,Signup  1-2,text,true,,449,478,2,8,https://api.demoblaze.com/signup,335,0,78
1650010725369,361,login,200,OK,Login 2-2,text,true,,449,477,2,8,https://api.demoblaze.com/login,361,0,99
1650010725544,270,login-ren,200,OK,InvalidLogin 3-1,text,true,,589,482,2,8,https://api.demoblaze.com/login,268,0,0
1650010725531,308,Login-39,200,OK,AddToCart 4-1,text,true,,587,487,2,7,https://api.demoblaze.com/login,306,0,0
1650010724390,1290,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-1,,true,,1036,964,2,7,null,1288,159,731
1650010725573,297,signup - rick127,200,OK,Signup  1-1,text,false,"Test failed: text expected to contain /""""/",542,488,2,7,https://api.demoblaze.com/signup,297,0,0
1650010724375,1321,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-1,,false,,991,966,2,7,null,1321,175,731
1650010725573,335,login-rick127,200,OK,Login 2-1,text,true,,646,487,2,6,https://api.demoblaze.com/login,333,0,0
1650010725715,270,login-ken,200,OK,InvalidLogin 3-2,text,false,Test failed: text expected to contain /User does not exist./,553,482,1,5,https://api.demoblaze.com/login,270,0,0
1650010725715,351,signup - reen1,200,OK,Signup  1-2,text,false,"Test failed: text expected to contain /""""/",509,486,1,4,https://api.demoblaze.com/signup,351,0,0
1650010725377,686,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-2,,false,,958,964,1,4,null,686,4,78
1650010725840,324,Item1-80,200,OK,AddToCart 4-1,text,true,,449,476,2,3,https://api.demoblaze.com/view,324,0,0
1650010725715,451,Login-39,200,OK,AddToCart 4-2,text,true,,652,485,2,3,https://api.demoblaze.com/login,448,0,0
1650010725373,790,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-2,,true,,1101,962,2,3,null,787,4,82
1650010725731,437,login-reen1,200,OK,Login 2-2,text,true,,507,485,1,3,https://api.demoblaze.com/login,436,0,0
1650010726165,253,Item1-84,200,OK,AddToCart 4-1,text,true,,449,481,3,7,https://api.demoblaze.com/addtocart,253,0,0
1650010726167,256,Item1-80,200,OK,AddToCart 4-2,text,true,,449,476,3,7,https://api.demoblaze.com/view,256,0,0
1650010726373,148,Contact-424,200,OK,Contacts 5-3,text,true,,5037,536,1,7,https://www.demoblaze.com/index.html,145,0,98
1650010726372,148,Contact,200,"Number of samples in transaction : 1, number of failing samples : 0",Contacts 5-3,,true,,5037,536,1,7,null,145,1,98
1650010726424,248,Item1-84,200,OK,AddToCart 4-2,text,true,,449,481,3,6,https://api.demoblaze.com/addtocart,248,0,0
1650010726366,337,login,200,OK,Login 2-3,text,true,,449,477,1,6,https://api.demoblaze.com/login,337,0,85
1650010726419,293,Item1-85,200,OK,AddToCart 4-1,text,true,,307,553,3,6,https://api.demoblaze.com/addtocart,293,0,0
1650010726366,349,login,200,OK,InvalidLogin 3-3,text,true,,449,477,1,6,https://api.demoblaze.com/login,349,0,94
1650010726371,350,Login-38,200,OK,AddToCart 4-3,text,true,,449,477,3,6,https://api.demoblaze.com/login,350,0,99
1650010726366,407,signup,200,OK,Signup  1-3,text,true,,449,478,1,6,https://api.demoblaze.com/signup,407,0,105
1650010726714,133,Item1-89,200,OK,AddToCart 4-1,text,true,,5242,517,3,6,https://www.demoblaze.com/index.html,130,0,82
1650010725839,1003,Item1,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-1,,true,,6447,2027,3,6,null,1000,5,82
1650010726673,281,Item1-85,200,OK,AddToCart 4-2,text,true,,307,553,3,6,https://api.demoblaze.com/addtocart,281,0,0
1650010726703,276,login-stokes12,200,OK,Login 2-3,text,true,,694,488,1,6,https://api.demoblaze.com/login,276,0,0
1650010726715,287,login-joe,200,OK,InvalidLogin 3-3,text,false,Test failed: text expected to contain /User does not exist./,571,482,1,5,https://api.demoblaze.com/login,276,0,0
1650010726722,296,Login-39,200,OK,AddToCart 4-3,text,true,,520,488,3,4,https://api.demoblaze.com/login,296,0,0
1650010726370,646,Login,200,"Number of samples in transaction : 2, number of failing samples : 0",AddToCart 4-3,,true,,969,965,3,4,null,646,2,99
1650010726773,304,signup - stokes12,200,OK,Signup  1-3,text,false,"Test failed: text expected to contain /""""/",559,489,1,4,https://api.demoblaze.com/signup,304,0,0
1650010726365,711,signup,,"Number of samples in transaction : 2, number of failing samples : 1",Signup  1-3,,false,,1008,967,1,4,null,711,2,105
1650010726955,137,Item1-89,200,OK,AddToCart 4-2,text,true,,5007,517,3,3,https://www.demoblaze.com/index.html,134,0,89
1650010726167,922,Item1,200,"Number of samples in transaction : 4, number of failing samples : 0",AddToCart 4-2,,true,,6212,2027,3,3,null,919,3,89
1650010726848,259,Item2-106,200,OK,AddToCart 4-1,text,true,,5491,517,3,3,https://www.demoblaze.com/prod.html?idp_=5,250,0,0
1650010727093,47,Item2-106,200,OK,AddToCart 4-2,text,true,,5709,517,3,3,https://www.demoblaze.com/prod.html?idp_=5,45,0,0
1650010727019,253,Item1-80,200,OK,AddToCart 4-3,text,true,,449,476,3,3,https://api.demoblaze.com/view,253,0,0
1650010727108,254,Item2-121,200,OK,AddToCart 4-1,text,true,,449,481,3,3,https://api.demoblaze.com/addtocart,254,0,0
1650010727141,255,Item2-121,200,OK,AddToCart 4-2,text,true,,449,481,4,8,https://api.demoblaze.com/addtocart,255,0,0
1650010727273,250,Item1-84,200,OK,AddToCart 4-3,text,true,,449,481,4,8,https://api.demoblaze.com/addtocart,250,0,0
1650010727363,312,Item2-122,200,OK,AddToCart 4-1,text,true,,307,553,4,8,https://api.demoblaze.com/addtocart,312,0,0
1650010727396,296,Item2-122,200,OK,AddToCart 4-2,text,true,,307,553,4,8,https://api.demoblaze.com/addtocart,296,0,0
